Stratigraphic unit,,Lithology,"!13C carb",,"!18 O",,"! 13",Corg,,"! 13",C,,TOC [%],H/C atomic,Fe [ppm],Mn [ppm] Sr [ppm],,Mn/Sr
No. horizon [m],,,"[VPDB, ‰]",,"[VPDB, ‰]",,"[VPBD, ‰]",,,"[VPBD, ‰]",,,,,,,,
Doushantuo Fm.,,,,,,,,,,,,,,,,,,
YJP3,121.1,Mic. Limes.,8.0,,−8.4,,−24.3,,,32.3,,,0.54,0.4,290,60 830,,0.07
YJP4,121.7,Mic. Limes.,7.1,,−8.6,,−23.8,,,31.0,,,0.19,2.3,250,40 1490,,0.03
YJP5,122.7,Mic. Limes.,4.4,,−7.0,,−25.0,,,29.4,,,0.38,3.6,1040,110 3840,,0.03
YJP6,123.9,Mic. Dolos.,6.0,,−4.9,,−25.4,,,31.4,,,0.73,3.2,870,90 370,,0.25
YJP7,125.4,Mic. Dolos.,5.4,,−6.0,,−23.2,,,28.6,,,0.15,37,1980,100 440,,0.24
YJP8,126.9,Mic. Dolos.,5.3,,−5.3,,−23.7,,,29.0,,,0.19,24,2300,110 420,,0.25
YJP9,136.5,Mic. Dolos.,5.4,,−6.1,,−23.9,,,29.3,,,0.36,32,2060,80 680,,0.12
YJP10,146.5,Mic. Dolos.,5.1,,−6.4,,−24.6,,,29.7,,,0.79,6.7,3670,110 980,,0.11
YJP11,149.5,Mic. Dolos.,4.9,,−7.1,,−24.4,,,29.4,,,0.83,3.4,1940,70 910,,0.08
YJP12,153.0,Mic. Dolos.,4.9,,−6.4,,−24.5,,,29.4,,,0.90,5.8,3080,100 750,,0.13
YJP13,156.0,Mic. Dolos.,4.8,,−4.8,,−24.4,,,29.2,,,0.43,20,2690,110 660,,0.16
YJP14,158.5,Mic. Dolos.,5.1,,−6.2,,−24.3,,,29.4,,,0.74,6.3,3440,110 910,,0.12
YJP15,165.0,Mic. Dolos.,4.7,,−7.3,,−25.1,,,29.8,,,–,–,1770,80 1480,,0.05
YJP16,169.5,Mic. Limes.,4.5,,−7.7,,−23.4,,,27.9,,,0.34,2.5,480,70 940,,0.07
YJP17,173.5,Limestone,6.1,,−8.2,,−22.9,,,29.1,,,0.11,2.2,260,30 650,,0.05
YJP18,176.5,Limestone,6.5,,−8.1,,−21.0,,,27.5,,,0.05,1.2,210,30 990,,0.03
YJP19,178.5,Limestone,6.6,,−8.0,,−20.3,,,26.9,,,0.09,–,230,30 620,,0.05
YJP20,180.5,Limestone,7.1,,−7.2,,−19.8,,,26.8,,,0.16,1.2,180,30 960,,0.03
YJP21,183.5,Limestone,7.1,,−7.2,,−22.6,,,29.8,,,0.36,0.3,310,30 1000,,0.03
YJP22,185.5,Limestone,6.8,,−6.9,,−19.8,,,26.5,,,0.10,1.2,230,20 990,,0.02
YJP23,189.0,Limestone,6.6,,−7.1,,−22.1,,,28.7,,,0.13,–,230,20 3860,,0.01
YJP24,192.0,Mic. Dolos.,6.9,,−6.1,,−8.3,,,15.2,,,1.44,3.0,620,50 330,,0.16
YJP25,194.0,Limestone,6.7,,−7.1,,−20.8,,,27.5,,,0.14,0.9,340,30 1480,,0.02
YJP26,198.0,Limestone,6.3,,−7.0,,−20.7,,,27.0,,,0.11,–,210,20 2440,,0.01
YJP27,200.0,Limestone,6.8,,−6.8,,−20.9,,,27.6,,,0.09,–,250,30 900,,0.03
YJP28,202.0,Limestone,6.7,,−6.9,,−20.6,,,27.3,,,0.12,1.0,280,30 1010,,0.03
YJP29,204.5,Limestone,6.7,,−7.1,,−22.2,,,28.8,,,0.11,1.1,290,30 1730,,0.01
YJP30,207.0,Limestone,6.5,,−7.3,,−20.2,,,26.8,,,0.09,–,310,20 1680,,0.01
YJP31,209.5,Limestone,6.5,,−6.8,,−20.2,,,26.7,,,0.12,–,290,30 1640,,0.01
YJP32,212.0,Limestone,6.2,,−7.0,,−21.2,,,27.4,,,0.13,1.8,270,30 960,,0.03
YJP33,215.0,Limestone,6.6,,−6.5,,−21.1,,,27.7,,,0.14,2.7,370,30 790,,0.04
YJP34,218.5,Limestone,7.3,,−6.8,,−21.4,,,28.8,,,0.15,0.8,130,20 980,,0.02
YJP35,221.5,Limestone,7.1,,−6.5,,−21.0,,,28.0,,,0.09,1.3,140,10 1510,,0.01
YJP36,225.0,Limestone,6.4,,−7.0,,−22.0,,,28.5,,,0.15,2.0,110,10 420,,0.03
YJP37,228.0,Limestone,7.5,,−7.1,,−21.9,,,29.3,,,0.08,1.5,120,10 650,,0.01
YJP38,231.0,Limestone,7.1,,−7.3,,−20.9,,,28.0,,,0.10,1.2,100,10 580,,0.02
YJP39,234.0,Limestone,5.8,,−7.4,,−21.9,,,27.7,,,0.06,–,110,10 750,,0.02
YJP40,237.0,Limestone,1.8,,−7.6,,−23.5,,,25.3,,,0.08,0.8,150,30 1070,,0.03
YJP41,246.0,Mic. Dolos.,4.3,,−3.8,,−25.0,,,29.3,,,0.24,31,1820,100 630,,0.16
YJP42,248.5,Limestone,4.9,,−7.2,,−23.4,,,28.3,,,0.09,2.7,440,50 960,,0.06
YJP43,250.5,Limestone,3.2,,−6.6,,−25.0,,,28.2,,,0.17,10,730,80 460,,0.17
YJP44,263.5,Mic.Dolos.,5.0,,−7.0,,−25.3,,,30.3,,,0.19,0.6,620,80 290,,0.26
YJP45,271.0,Dolostone,−2.1,,−6.6,,−23.7,,,21.7,,,0.06,–,70,20 130,,0.18
YJP46,275.0,Mic. Dolos.,−4.0,,−3.7,,−28.0,,,24.1,,,0.49,0.7,580,100 230,,0.43
YJP47,286.0,Mic. Dolos.,2.0,,−2.8,,−26.7,,,28.7,,,0.48,7.5,540,110 260,,0.41
YJP48,289.7,Dolostone,−1.4,,−6.6,,−24.0,,,22.6,,,0.05,2.4,120,70 290,,0.23
